"app","agent"
"spanishdictionaryprofree.net.ithinkdiff","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.rik.light","MobileAsset/1.1"
"com.rik.light","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.comcast.cim.xfinitytv","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_4 like Mac OS X; en-CA) XfinityRemote/63"
"pr.apex.primerahora","Primera%20Hora/306 CFNetwork/711.4.6 Darwin/14.0.0"
"pr.apex.primerahora","Primera Hora 3.3.1 rv:306 (iPad; iPhone OS 8.4; en_CA)"
"pr.apex.primerahora","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143 Safari/9537.53"
"pr.apex.primerahora","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.actualsoftware.faxfile","FaxFile/938 CFNetwork/711.4.6 Darwin/14.0.0"
"com.smallware.solfree","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.smallware.solfree","Solitaire/350 CFNetwork/711.4.6 Darwin/14.0.0"
"com.meijer.mobile.meijer","Meijer/270;PIMapsLib/4.2.0;iPhone OS/8.4;iPad4,4"
"com.meijer.mobile.meijer","Meijer/270 CFNetwork/711.4.6 Darwin/14.0.0"
"com.meijer.mobile.meijer","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_4 like Mac OS X; en-CA) Meijer/270"
"com.bakedbymelissa.bakedbymelissaipad","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.bakedbymelissa.bakedbymelissaipad","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.bakedbymelissa.bakedbymelissaipad","PKYM6LEADK.com.bakedbymelissa.BakedbyMelissaiPad"
"com.bakedbymelissa.bakedbymelissaipad","bbmar/5 CFNetwork/711.4.6 Darwin/14.0.0"
"gov.wa.wsdot.iphone.wsdot","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143 (5895235360)"
"gov.wa.wsdot.iphone.wsdot","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.magzter.seventeenmalaysia","stardust/410 CFNetwork/711.4.6 Darwin/14.0.0"
"com.lucidifi.learnspanish","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.lucidifi.learnspanish","GoogleAnalytics/1.3 (iPad; U; CPU iPhone OS 8.4 like Mac OS X; en-ca)"
"com.lucidifi.learnspanish","Learn Spanish 1.8 rv:50 (iPad; iPhone OS 8.4; en_CA)"
"com.lucidifi.learnspanish","com.apple.siri.analyzer/1 CFNetwork/711.4.6 Darwin/14.0.0"
"com.turner.atsoundboardapp","Beemo/225 CFNetwork/711.4.6 Darwin/14.0.0"
"com.turner.atsoundboardapp","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143 (351100960)"
"com.nypost.iphone","NYPost/1.4.7 (iPad; iOS 8.4; Scale/2.00)"
"com.mobilewareinc.ontime-metra-ad","onTime/5.0.5 (iPad; iOS 8.4; Scale/2.00)"
"com.mobilewareinc.ontime-metra-ad","onTime/5.0.5 CFNetwork/711.4.6 Darwin/14.0.0"
"com.mobilewareinc.ontime-metra-ad","StoreKitUIService/1.0 iOS/8.4 model/iPad4,4 build/12H143 (5; dt:103)"
"com.antlerinsanity.antler-insanity","Antler%20Insanity/1.75 CFNetwork/711.4.6 Darwin/14.0.0"
"com.antlerinsanity.antler-insanity","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.antlerinsanity.antler-insanity","29JQKK9TLU.com.antlerinsanity.Antler-Insanity"
"com.arvest.mbanking","securityd (unknown version) CFNetwork/711.4.6 Darwin/14.0.0"
"com.arvest.mbanking","AppStore/2.0 iOS/8.4 model/iPad4,4 build/12H143 (5; dt:103)"
"com.raycom.wbtv.wbtv-weather","WBTVweather/3.7.501 CFNetwork/711.4.6 Darwin/14.0.0"
"com.raycom.wbtv.wbtv-weather","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.raycom.wbtv.wbtv-weather","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.raycom.wbtv.wbtv-weather","5N94534VQP.com.raycom.wbtv.WBTV-Weather"
"com.app.whiteboard","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.app.whiteboard","server-bag [iPhone OS,8.4,12H143,iPad4,4]"
"com.app.whiteboard","MobileAsset/1.1"
"com.app.whiteboard","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.buffalowildwings.bdubsapp","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.univision.iphone","TransperaSDK v3.6.0.88-fw : iPad4,4 : iPhone OS : 8.4"
"com.univision.iphone","Univision/318 CFNetwork/711.4.6 Darwin/14.0.0"
"com.univision.iphone","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_4 like Mac OS X; en-CA) Univision/318"
"com.univision.iphone","Mozilla/5.0 (iPad4,4; iOS 8.4) FreeWheelAdManager/5.18.2-r10681-201412020307;com.univision.iphone Univision/318"
"com.pacificspiritmedia.bestvids.fashionstore","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.pacificspiritmedia.bestvids.fashionstore","MobileAsset/1.1"
"com.pacificspiritmedia.bestvids.fashionstore","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.proximiti.celltrakr","GoogleAnalytics/1.0 (iPad; U; CPU iPhone OS 8.4 like Mac OS X; en-CA)"
"com.sapientgs.tsa","My TSA 2.0 (iPad; iPhone OS 8.4; en_CA)"
"com.sapientgs.tsa","TSAMobile/2.0 CFNetwork/711.4.6 Darwin/14.0.0"
"com.cbcnm.iapp.now.wjbk","FOX%202%20Detroit/4.3.2200 CFNetwork/711.4.6 Darwin/14.0.0"
"com.cbcnm.iapp.now.wjbk","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.stocktwits.stocktwits","MobileAsset/1.1"
"com.verizon.ams.dvr","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_4 like Mac OS X; en-CA) VZFiOSMobile/3.6.5"
"com.verizon.ams.dvr","VZFiOSMobile/3.6.5 (iPad; iOS 8.4; Scale/2.00)"
"com.verizon.ams.dvr","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.verizon.ams.dvr","MobileAsset/1.1"
"com.verizon.ams.dvr","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.xcosoftware.miamiheat","XCOExperience/2.03 (iPad; iOS 8.4; Scale/2.00)"
"com.xcosoftware.miamiheat","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.xcosoftware.miamiheat","securityd (unknown version) CFNetwork/711.4.6 Darwin/14.0.0"
"com.babyfirsttv.babyfirstmobilelite","BabyFirst/2.5.52 CFNetwork/711.4.6 Darwin/14.0.0"
"com.babyfirsttv.babyfirstmobilelite","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.innerapptive.turkeycallin","TurkeyCallin/1.1 CFNetwork/711.4.6 Darwin/14.0.0"
"com.innerapptive.turkeycallin","securityd (unknown version) CFNetwork/711.4.6 Darwin/14.0.0"
"com.yinzcam.nfl.phi","Eagles/29 CFNetwork/711.4.6 Darwin/14.0.0"
"com.yinzcam.nfl.phi","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X; en-CA)"
"com.yinzcam.nfl.phi","AppleCoreMedia/1.0.0.12H143 (iPad; U; CPU OS 8_4 like Mac OS X; en_us)"
"com.fred.crazywritersdemo","CrazyWritersDemo/1.7.5 CFNetwork/711.4.6 Darwin/14.0.0"
"com.yourcompany.allpoint","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.yourcompany.allpoint","Allpoint/1381318795 CFNetwork/711.4.6 Darwin/14.0.0"
"com.yourcompany.allpoint","X56S359WJ6.com.yourcompany.Allpoint"
"com.news12.news12togo","News 12  iPad App v3.11 (1673)"
"com.news12.news12togo","News12/1673 CFNetwork/711.4.6 Darwin/14.0.0"
"com.news12.news12togo","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.news12.news12togo","MobileAsset/1.1"
"com.news12.news12togo","securityd (unknown version) CFNetwork/711.4.6 Darwin/14.0.0"
"gov.state.apps.smartravel","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143 (5172749168)"
"gov.state.apps.smartravel","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.apex.sal","Sal/4139 CFNetwork/711.4.6 Darwin/14.0.0"
"com.pixelmags.reader.managed.bright-publishing-advanced-photographer","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_4 like Mac OS X; en-CA) Advanced Photographer/32.0.3.145.99524"
"com.pixelmags.reader.managed.bright-publishing-advanced-photographer","Advanced%20Photographer/32.0.3.145.99524 CFNetwork/711.4.6 Darwin/14.0.0"
"com.pixelmags.reader.managed.bright-publishing-advanced-photographer","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.goodrx.iphone","GoodRx/4.2.2 CFNetwork/711.4.6 Darwin/14.0.0"
"com.goodrx.iphone","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.goodrx.iphone","TVSquared iOS Collector Client 1.0"
"com.goodrx.iphone","YUV7GJ58WM.com.goodrx.iphone"
"com.goodrx.iphone","AssistantServices/1 CFNetwork/711.4.6 Darwin/14.0.0"
"com.goodrx.iphone","com.apple.siri.analyzer/1 CFNetwork/711.4.6 Darwin/14.0.0"
"com.kiss2go.iphone","server-bag [iPhone OS,8.4,12H143,iPad4,4]"
"com.toysrus.tru","ToysRus-US/5.3 CFNetwork/711.4.6 Darwin/14.0.0"
"com.toysrus.tru","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.toysrus.tru","securityd (unknown version) CFNetwork/711.4.6 Darwin/14.0.0"
"com.iosfunny02.sketchfree","SketchMe/4.2 CFNetwork/711.4.6 Darwin/14.0.0"
"com.iosfunny02.sketchfree","MobileAsset/1.1"
"com.iosfunny02.sketchfree","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.iosfunny02.sketchfree","AppStore/2.0 iOS/8.4 model/iPad4,4 build/12H143 (5; dt:103)"
"com.burpee.gardenplanner","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143 (391953312)"
"com.dropcam.dropcam","MobileAsset/1.1"
"com.dropcam.dropcam","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.dropcam.dropcam","securityd (unknown version) CFNetwork/711.4.6 Darwin/14.0.0"
"com.dropcam.dropcam","com.apple.mobilesafari/8.0 iOS/8.4 model/iPad4,4 build/12H143 (5; dt:103)"
"com.timeinc.coastalliving.ipad.inapp","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_4 like Mac OS X; en-CA) Coastal Living/5.33"
"com.timeinc.coastalliving.ipad.inapp","Coastal%20Living/5.33 CFNetwork/711.4.6 Darwin/14.0.0"
"com.timeinc.coastalliving.ipad.inapp","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.bishinews.fncalculators","MobileAsset/1.1"
"com.bishinews.fncalculators","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.dominos.iphone","Dominos/2.6.0.4 CFNetwork/711.4.6 Darwin/14.0.0"
"com.dominos.iphone","securityd (unknown version) CFNetwork/711.4.6 Darwin/14.0.0"
"com.dominos.iphone","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.mqdp.location.guyfacts","guyfacts/2.2.5 CFNetwork/711.4.6 Darwin/14.0.0"
"com.mqdp.location.guyfacts","server-bag [iPhone OS,8.4,12H143,iPad4,4]"
"com.mqdp.location.guyfacts","MobileAsset/1.1"
"com.mqdp.location.guyfacts","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.benjaminmcdowell.ios.speakeasyrussian-lite","SpeakEasy-Russian-Lite/3265.1 CFNetwork/711.4.6 Darwin/14.0.0"
